GEOID,NAME,total,hisp,white,black,amind_aknat,asian,nathw_pacis,other_race,multi_race,pop_over18,pop_under18,total_housing,occupied_housing,jobs_rac,jobs_rac_low,jobs_rac_mid,jobs_rac_hi,jobs_wac,jobs_wac_low,jobs_wac_mid,jobs_wac_hi
511319303012026,"Block 2026, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",10,0,8,1,0,0,0,0,1,8,2,5,3,11,3,3,5,2,0,0,2
511319303012027,"Block 2027, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",3,2,1,0,0,0,0,0,0,1,2,7,7,1,0,1,0,0,0,0,0
511319303012028,"Block 2028, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",8,0,7,1,0,0,0,0,0,8,0,7,2,4,1,2,1,0,0,0,0
511319303012029,"Block 2029, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",9,0,9,0,0,0,0,0,0,6,3,14,8,4,1,1,2,0,0,0,0
511319303012030,"Block 2030, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",27,0,25,2,0,0,0,0,0,27,0,27,14,14,4,3,7,0,0,0,0
511319303012032,"Block 2032, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",14,2,12,0,0,0,0,0,0,12,2,13,7,7,5,0,2,0,0,0,0
511319303012033,"Block 2033, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",11,0,10,1,0,0,0,0,0,11,0,13,13,2,0,2,0,40,3,10,27
511319303012035,"Block 2035, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",2,0,1,1,0,0,0,0,0,1,1,6,0,1,0,0,1,0,0,0,0
511319303012036,"Block 2036, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0
511319303012037,"Block 2037, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",26,2,24,0,0,0,0,0,0,19,7,11,0,10,1,4,5,0,0,0,0
511319303012039,"Block 2039, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",8,0,8,0,0,0,0,0,0,8,0,13,7,7,2,0,5,0,0,0,0
511319303012040,"Block 2040, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",6,0,1,5,0,0,0,0,0,6,0,7,0,3,0,2,1,16,2,4,10
511319303012042,"Block 2042, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",5,0,5,0,0,0,0,0,0,5,0,11,11,2,1,0,1,12,3,2,7
511319303012043,"Block 2043, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",6,0,3,1,0,0,0,0,2,3,3,6,0,0,0,0,0,0,0,0,0
511319303012045,"Block 2045, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",13,0,13,0,0,0,0,0,0,13,0,27,12,3,0,2,1,0,0,0,0
511319303012046,"Block 2046, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",10,1,9,0,0,0,0,0,0,9,1,15,13,4,1,1,2,1,0,0,1
511319303012047,"Block 2047, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303012049,"Block 2049, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",14,4,8,2,0,0,0,0,0,14,0,11,5,5,0,1,4,0,0,0,0
511319303012050,"Block 2050, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",14,0,14,0,0,0,0,0,0,9,5,12,11,7,1,3,3,0,0,0,0
511319303012052,"Block 2052, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",28,5,21,0,2,0,0,0,0,28,0,25,10,15,4,2,9,0,0,0,0
511319303012053,"Block 2053, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",13,0,12,0,0,1,0,0,0,9,4,14,2,3,2,1,0,16,5,6,5
511319303012055,"Block 2055, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",13,0,10,3,0,0,0,0,0,13,0,20,11,5,1,2,2,39,3,19,17
511319303012057,"Block 2057, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",10,1,7,0,0,2,0,0,0,7,3,4,1,6,2,4,0,10,3,2,5
511319303012058,"Block 2058, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",14,0,14,0,0,0,0,0,0,11,3,6,0,4,1,1,2,0,0,0,0
511319303012060,"Block 2060, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",25,1,17,0,1,2,0,0,4,16,9,13,0,11,0,1,10,13,2,7,4
511319303012061,"Block 2061, Block Group 2, Census Tract 9303.01, Northampton County, Virginia",8,0,4,1,0,0,0,0,3,8,0,7,4,3,1,0,2,9,2,4,3
511319303013001,"Block 3001, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",28,4,22,2,0,0,0,0,0,28,0,16,9,17,4,1,12,0,0,0,0
511319303013002,"Block 3002, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303013003,"Block 3003, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303013004,"Block 3004, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303013005,"Block 3005, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",87,0,43,42,0,1,0,0,1,87,0,98,84,34,8,10,16,8,3,5,0
511319303013006,"Block 3006, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303013007,"Block 3007, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303013009,"Block 3009, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",21,0,18,3,0,0,0,0,0,18,3,11,11,7,2,1,4,0,0,0,0
511319303013010,"Block 3010, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303013011,"Block 3011, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,14,7
511319303013012,"Block 3012, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",9,0,5,1,1,0,0,0,2,6,3,5,0,5,1,2,2,0,0,0,0
511319303013014,"Block 3014, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",9,0,9,0,0,0,0,0,0,9,0,4,1,2,1,0,1,6,1,3,2
511319303013015,"Block 3015, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",2,0,0,1,0,1,0,0,0,1,1,6,0,4,0,2,2,1,0,0,1
511319303013016,"Block 3016, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",27,0,24,0,0,1,0,1,1,27,0,11,11,7,0,3,4,1,0,1,0
511319303013017,"Block 3017, Block Group 3, Census Tract 9303.01, Northampton County, Virginia",16,3,12,1,0,0,0,0,0,13,3,11,11,8,1,2,5,3,1,1,1
